#{"t_start": 1744811708.0384393, "env_id": "footsteps-planning-any-obstacle-multigoal-v0"}
r,l,t
-98.833525,90,731.760904
-102.015163,90,732.726019
-104.541311,90,733.721125
-94.418601,90,734.739326
-95.22833,90,735.714023
-105.568258,90,736.693721
-92.560711,90,737.674025
-94.213962,90,738.681403
-97.843112,90,739.685663
-92.819812,90,740.651822
-97.356054,90,741.486686
-99.122899,90,742.357814
-96.094796,90,743.330982
-97.334865,90,744.356222
-92.037044,90,745.337743
-95.237666,90,746.337647
-101.982679,90,747.319987
-105.059804,90,748.29842
-93.989533,90,749.352762
-107.899731,90,750.404046
-104.395994,90,751.065906
-103.07372,90,751.799818
-102.842399,90,752.786195
-101.577836,90,753.794772
-106.018037,90,754.781331
-104.154884,90,755.761671
-96.853339,90,756.747413
-96.085941,90,757.741988
-98.228937,90,758.732245
-93.3861,90,759.716549
-108.852227,90,760.699378
-95.611525,90,761.699508
-93.234743,90,762.673617
-93.424895,90,763.673222
-103.238795,90,764.662123
-97.269643,90,765.667744
-92.671313,90,766.640966
-93.125447,90,767.610329
-96.112298,90,768.584795
-106.42669,90,769.608957
-101.371193,90,770.603998
-97.073219,90,771.579085
-102.449652,90,772.494593
-106.370157,90,773.368645
-99.293238,90,774.376617
-114.498488,90,775.365753
-97.672135,90,776.357448
-32.894564,31,777.275139
-92.683798,90,777.702596
-101.399485,90,778.718442
-98.882515,90,779.702606
-97.009935,90,780.685797
-109.749993,90,781.660215
-98.582525,90,782.6382
-92.568737,90,783.645165
-101.33847,90,784.638005
-96.512011,90,785.609632
-109.488692,90,786.580952
-105.775048,89,787.556085
-103.925605,90,788.53626
-94.726808,90,789.522783
-98.18496,90,790.494181
-96.878834,90,791.46766
-103.556482,90,792.247214
-103.253531,90,792.867765
-75.586422,65,793.46142
-94.270215,90,794.100273
-96.551673,90,795.101388
-102.861633,90,796.089367
-104.163959,90,797.069805
-102.616258,90,798.046019
-92.518848,90,798.785772
-100.301934,90,799.405666
-105.08328,90,800.026683
-101.579134,90,800.646567
-102.684915,90,801.275657
-99.054979,90,801.895098
-100.067119,90,802.514718
-96.679027,90,803.133868
-53.392668,51,803.932004
-104.390937,90,804.328263
-97.036508,90,804.94918
-100.357285,90,805.568563
-96.68492,90,806.446551
-110.691513,90,807.429631
-97.692219,90,808.401889
-105.077841,90,809.385704
-93.651227,90,810.377296
-98.940008,90,811.374033
-97.839043,90,812.370447
-106.530813,90,813.36317
-97.812481,90,814.365663
-106.451866,90,815.340354
-94.719952,90,816.317642
-103.83982,90,817.305334
-98.068389,90,818.303177
-96.286627,90,819.285192
-95.237995,90,820.248378
-92.862733,90,821.214163
-96.974329,90,822.198352
-77.17996,71,823.143394
-104.835741,90,823.959697
-97.657002,90,824.949512
-98.008408,90,825.950953
-107.714079,90,826.931385
-99.134619,90,827.906749
-104.386636,90,828.912957
-108.329206,90,829.940382
-99.543616,90,830.924639
-100.945842,90,831.897363
-99.123013,90,832.86979
-64.246426,59,833.850095
-100.893231,90,834.544995
-93.781906,90,835.527279
-105.58313,90,836.50724
-99.230063,90,837.512941
-109.767746,90,838.503119
-95.364964,90,839.478081
-97.681374,90,840.45232
-94.866389,90,841.441303
-99.434202,90,842.420276
-99.340068,90,843.394201
-98.180903,90,844.360841
-100.786373,90,845.366701
-106.864006,90,846.146729
-93.56302,90,846.89562
-102.024333,90,847.853848
-94.898005,90,848.607571
-96.127733,90,849.445168
-120.039707,90,850.430391
-92.641313,90,851.406036
-96.763274,90,852.41581
-100.246107,90,853.40333
-94.996342,90,854.404373
-103.256231,90,855.391577
-49.751505,44,856.316216
-106.41032,90,856.859031
-93.855621,90,857.828844
-97.039139,90,858.810914
-49.146233,47,859.7557
-89.721006,83,860.310136
-94.997521,90,861.222192
-97.717402,90,862.199592
-81.37922,71,863.181685
-93.951972,90,864.011242
-98.698863,90,864.999063
-94.091025,90,865.989231
-112.232883,90,866.99707
-99.349716,90,868.033036
-92.735119,90,869.070654
-107.083791,85,870.084052
-114.977584,90,871.026655
-93.634598,90,872.024272
-102.351701,90,872.992407
-104.787685,90,874.002306
-94.136647,90,875.026421
-97.633851,90,875.959218
-97.558963,90,876.962565
-104.494446,90,877.939292
-100.328334,90,878.96241
-98.675288,90,879.949423
-95.663448,90,880.871333
-93.357698,90,881.83751
-100.181071,90,882.81248
-97.868705,90,883.806582
-107.489584,90,884.776729
-97.316468,90,885.744162
-95.670227,90,886.765743
-103.459399,90,887.721186
-102.115337,90,888.731753
-95.054706,90,889.721167
-98.414189,90,890.714075
-107.59959,90,891.69473
-94.948332,90,892.67551
-98.568297,90,893.691908
